,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480
0,0,44,35,47,52,44,40,51,36,44,36,40,29,45,64,40,38,49,40,44,35,37,37,38,44,42,52,44,34,43,43,33,26,51,45,49,28,45,42,49,48,39,37,33,45,43,43,32,29,35,41,42,54,29,37,40,23,45,31,31,49,29,51,41,34,43,40,26,43,55,33,61,33,37,46,35,45,37,49,27,31,26,36,55,56,44,57,48,31,40,36,46,29,21,47,50,30,27,37,27,53,49,43,30,30,39,45,35,47,49,41,39,35,36,52,45,33,44,33,42,38,23,18,51,31,29,23,41,38,26,36,40,48,46,26,48,46,43,49,46,49,44,39,33,33,33,51,39,62,54,53,38,25,54,34,51,50,38,43,32,43,39,28,38,44,42,21,38,41,16,43,38,31,38,24,48,50,38,39,45,26,47,41,32,40,29,25,33,45,39,55,62,48,30,54,44,32,33,47,31,31,23,46,29,32,35,36,45,33,35,38,49,36,51,47,50,34,35,37,48,31,31,47,48,41,53,40,49,35,48,44,38,51,31,41,43,34,38,44,50,44,49,41,43,28,44,42,49,58,47,17,46,36,25,55,35,41,31,52,27,36,45,36,44,50,17,30,56,33,33,43,34,32,46,45,38,31,29,50,40,37,36,28,21,39,41,54,43,36,48,60,31,37,49,39,44,32,57,25,35,47,31,43,40,44,38,54,44,58,39,43,49,36,51,45,51,29,44,29,39,49,49,43,28,47,26,43,48,38,42,33,33,41,44,49,50,34,57,40,36,48,30,41,36,51,39,45,46,43,42,37,32,48,27,54,35,30,40,45,38,43,40,44,61,50,31,50,17,52,37,48,36,28,47,49,45,58,22,52,30,53,33,38,44,38,37,45,38,36,43,47,31,40,30,33,35,43,35,51,46,42,50,61,32,31,35,46,48,54,26,51,31,52,43,39,32,50,38,41,62,45,51,46,32,52,41,35,41,48,49,27,47,28,31,35,17,40,48,41,46,45,39,45,40,33,48,44,49,35,43,30,41,38,46,59,29,55,49,59,33,50,40,30,52,40,37,34,51,45,33,44,50,43,36,37,43,37,45,37,40,21
1,44,0,49,48,50,49,31,41,24,46,30,56,24,40,44,42,37,48,53,39,41,36,41,38,51,41,52,53,39,49,53,26,21,58,44,53,28,54,45,50,55,37,38,32,54,48,44,37,29,48,45,41,57,26,31,40,24,50,33,23,55,32,50,46,33,48,40,26,43,50,28,38,32,36,55,33,43,33,43,32,47,31,36,60,54,33,58,40,33,34,35,55,25,26,55,58,31,40,49,23,58,48,48,40,28,34,38,38,50,58,44,31,27,42,41,60,35,53,40,33,36,30,23,49,38,26,21,48,43,24,31,41,54,35,23,34,45,45,55,57,46,48,47,31,34,38,50,28,50,44,52,42,28,44,38,53,60,44,49,41,40,42,32,47,44,34,18,38,41,23,49,38,37,45,23,43,53,31,41,51,20,47,39,25,45,28,36,34,55,32,52,44,53,33,38,44,45,38,53,34,34,19,51,38,39,39,46,46,33,41,42,38,28,49,46,47,33,35,32,46,30,36,52,56,29,47,42,53,38,54,48,48,54,25,44,38,39,47,50,55,47,46,34,51,29,44,57,56,50,51,19,53,33,21,52,35,42,39,50,32,32,60,39,57,50,25,31,57,39,36,44,31,33,45,49,37,38,25,55,40,36,38,32,26,49,47,61,59,32,54,40,40,39,48,50,36,43,45,37,35,50,28,40,27,44,37,57,41,42,35,44,51,30,53,48,60,34,46,24,41,44,55,47,30,51,27,48,46,37,52,35,30,53,49,58,50,24,39,34,40,48,20,49,40,51,43,47,49,36,35,37,40,52,26,60,35,25,52,45,34,47,37,52,51,48,49,44,24,53,30,54,39,23,51,49,45,53,22,60,24,53,33,40,29,43,50,39,29,40,48,50,26,48,43,35,45,54,51,57,53,49,55,49,44,40,27,46,56,57,24,53,34,68,46,45,23,42,44,51,46,48,55,55,27,58,47,34,31,38,49,35,46,21,29,43,14,50,57,48,44,54,51,52,42,29,51,41,29,35,49,31,48,40,33,47,34,58,54,40,28,49,48,28,57,47,44,31,47,57,30,50,54,45,41,32,53,43,51,36,26,21
2,35,49,0,49,45,46,35,37,29,34,30,48,21,42,36,32,35,38,40,36,37,33,29,35,39,37,46,43,34,50,43,32,18,48,39,43,25,34,45,41,43,32,30,36,46,37,38,26,29,39,35,28,51,27,33,30,23,45,30,19,49,34,41,33,33,50,38,25,37,38,24,29,38,31,45,30,44,35,30,31,52,32,38,52,42,37,49,36,31,37,26,48,26,26,39,46,33,31,39,26,43,40,37,38,22,36,26,32,41,42,30,30,28,35,42,41,37,44,33,28,26,28,24,44,28,24,24,40,33,29,24,35,41,29,22,29,37,41,41,42,43,42,43,28,27,24,40,24,42,38,44,31,38,26,38,48,48,42,44,35,32,40,28,40,40,39,20,24,30,24,36,31,29,41,23,42,43,21,39,38,19,34,28,26,41,32,39,30,43,28,43,34,45,36,32,37,33,47,43,28,33,18,42,45,30,31,36,33,24,41,36,33,28,38,32,35,32,26,22,40,23,35,40,46,31,37,30,44,34,41,36,33,47,23,39,31,41,37,37,53,40,44,34,44,24,31,52,48,37,38,21,42,33,19,45,37,39,26,47,25,36,42,38,40,36,21,31,48,27,35,40,31,27,33,42,27,30,25,50,43,32,26,30,24,41,42,53,43,31,49,30,33,37,46,40,33,34,39,26,35,48,24,38,25,37,35,48,36,34,40,42,42,28,40,36,47,30,33,28,37,39,52,39,27,48,27,43,37,34,45,27,27,47,43,43,30,33,29,35,46,39,27,37,39,45,44,35,41,26,29,38,32,37,25,50,33,30,41,36,35,42,33,36,44,34,38,41,18,44,25,43,29,26,41,38,34,39,20,50,27,48,25,33,26,33,48,30,31,35,42,46,27,38,39,35,40,42,51,47,35,34,46,37,55,39,20,42,47,47,20,36,30,50,36,43,18,37,42,38,37,37,47,35,23,51,48,25,32,29,47,27,45,20,25,28,12,40,47,37,32,48,45,41,28,30,35,42,22,35,45,27,35,46,30,37,23,44,45,39,26,46,40,25,45,42,33,31,49,49,23,37,46,33,36,28,47,34,43,36,24,23
3,47,48,49,0,52,55,37,50,19,50,30,53,13,39,48,42,39,44,50,44,38,30,38,41,47,45,53,48,38,50,58,19,16,53,42,57,17,50,52,46,56,33,28,34,59,44,54,32,32,41,44,36,62,25,22,37,19,60,26,18,54,33,56,38,29,46,43,13,41,51,21,37,31,30,50,25,42,38,46,32,39,21,34,61,52,38,53,46,41,37,27,55,21,19,55,55,35,33,45,14,60,50,39,26,26,34,40,34,58,53,31,23,24,38,48,38,37,53,41,29,32,22,24,44,22,32,26,45,43,27,31,42,56,30,21,32,41,40,53,58,59,54,48,28,27,32,42,24,58,52,53,40,27,29,36,62,54,45,54,33,32,46,33,33,50,39,18,28,34,21,43,27,34,49,17,47,57,29,42,44,9,41,33,26,40,23,31,33,54,22,65,45,55,27,42,51,38,40,56,31,29,17,50,41,28,35,32,34,22,43,44,32,17,48,40,45,17,28,31,45,25,33,48,54,24,45,46,59,36,57,50,38,58,13,39,41,31,47,50,60,43,66,40,54,27,40,56,57,55,49,8,48,27,19,51,42,34,26,52,31,28,52,33,48,44,24,20,59,37,35,50,30,22,45,53,35,40,26,58,47,44,30,21,22,42,58,68,44,26,60,38,30,33,48,43,38,31,53,29,33,64,25,42,28,43,34,58,43,51,40,46,56,21,48,48,55,33,47,13,36,40,56,43,23,47,24,51,50,32,52,25,27,47,47,62,41,29,39,31,41,43,26,49,38,59,46,49,50,31,30,41,31,51,22,62,31,22,47,35,33,39,34,53,58,47,33,49,21,62,22,50,29,19,56,52,49,55,20,63,16,61,28,41,32,40,50,35,28,37,53,56,18,49,45,30,45,50,46,54,41,41,57,49,45,29,17,53,50,53,15,45,22,69,51,46,14,50,36,41,46,42,59,50,32,53,55,23,38,37,58,31,54,13,27,42,18,44,55,48,37,60,51,51,37,29,51,38,30,26,51,33,39,41,25,54,29,54,56,50,24,45,52,18,60,45,35,27,54,58,22,48,54,35,45,24,58,43,57,26,27,13
4,52,50,45,52,0,50,40,50,30,46,31,57,23,41,46,39,33,51,47,54,39,36,41,42,45,47,50,45,37,47,52,24,26,49,42,55,29,46,47,46,61,43,36,32,57,47,45,42,36,35,44,44,57,26,29,41,25,48,35,24,49,42,61,40,34,45,45,25,42,47,29,37,39,40,46,23,48,36,42,30,47,27,36,59,56,39,61,47,35,36,38,60,33,22,51,57,36,40,42,28,55,51,43,35,25,39,44,40,53,51,38,27,36,38,47,46,36,50,38,39,35,29,25,51,29,26,26,46,41,28,32,43,55,35,28,39,45,44,55,56,51,50,45,30,41,31,51,25,58,47,55,39,35,41,41,54,59,49,49,42,42,43,28,41,46,42,22,37,38,30,44,32,37,49,16,47,53,34,43,47,19,43,41,34,45,29,32,37,53,32,64,46,54,29,38,46,39,43,55,33,44,23,51,45,31,40,32,42,35,42,43,42,27,49,47,47,36,38,34,47,29,37,47,56,33,47,42,58,39,53,50,47,53,23,37,43,26,43,60,57,44,55,43,51,31,48,54,58,47,49,15,50,36,20,57,43,36,31,51,27,31,61,39,48,49,18,25,56,35,33,48,29,32,40,45,44,37,31,60,48,42,35,37,24,43,47,66,44,30,56,39,43,35,48,54,39,29,48,34,40,55,29,46,29,42,37,58,46,50,39,47,48,26,57,48,62,29,47,26,35,47,53,46,31,54,32,56,47,28,54,31,31,49,42,57,47,31,38,35,42,46,30,47,42,58,38,54,54,40,37,43,33,51,24,58,36,34,46,39,43,38,39,50,56,49,42,52,23,49,32,50,41,30,51,46,45,55,20,62,24,61,26,48,34,44,47,38,37,39,47,55,29,47,50,41,42,48,46,59,45,41,60,49,49,28,24,47,59,54,25,51,24,63,54,46,20,37,39,42,46,45,56,53,26,58,51,33,40,38,56,33,58,21,31,50,20,52,58,46,42,58,50,53,41,26,50,44,30,28,52,35,45,44,39,51,30,59,55,50,29,51,49,21,63,42,38,40,53,60,29,45,48,35,48,29,53,41,51,32,25,21
5,44,49,46,55,50,0,39,53,32,45,37,48,27,41,46,36,38,41,52,49,44,32,39,37,56,47,51,43,40,53,53,32,20,52,49,51,34,47,49,48,55,34,38,38,50,43,51,36,31,43,43,38,59,30,30,42,29,51,33,26,50,29,53,38,36,50,48,21,42,52,25,46,41,37,47,33,46,49,46,34,42,33,39,57,47,40,57,39,34,47,31,50,33,28,48,50,33,36,52,37,52,51,47,37,26,45,42,42,57,48,42,31,33,43,50,37,49,48,54,35,38,33,18,42,31,29,24,46,33,37,30,52,50,30,24,44,43,37,51,48,47,46,45,31,31,32,43,36,52,50,55,40,38,37,36,54,50,48,49,40,36,37,39,47,43,39,22,40,41,27,47,38,34,53,23,50,48,33,41,47,18,40,40,35,43,35,41,45,55,30,57,48,48,36,38,55,51,45,53,36,43,18,45,47,37,41,42,32,34,38,43,40,33,43,34,39,31,28,41,44,36,37,45,51,33,46,40,50,41,49,42,49,55,22,45,39,37,45,52,52,39,64,41,45,40,42,53,64,54,41,19,39,31,23,48,43,40,35,45,37,35,48,46,48,43,29,31,54,33,35,43,36,24,45,55,48,42,31,50,46,44,35,29,22,46,45,65,42,34,55,44,34,43,67,47,36,40,50,29,33,58,28,54,33,49,44,55,40,53,40,45,51,30,49,43,56,33,41,25,40,39,52,49,33,46,30,55,42,47,49,31,38,51,45,56,45,31,47,43,44,37,37,47,45,55,60,46,48,48,30,36,40,46,32,58,43,31,43,42,32,42,37,44,60,46,34,47,26,53,28,53,43,32,53,52,40,51,22,54,31,59,33,35,31,44,52,35,36,47,49,51,32,49,41,39,39,50,52,51,46,40,52,49,41,37,28,58,51,51,21,44,32,62,42,47,28,51,46,45,45,42,54,46,29,55,49,32,42,43,53,27,51,22,33,42,18,43,53,43,35,50,45,48,44,36,47,46,34,40,48,31,41,40,33,50,28,50,51,44,37,45,48,29,52,42,34,42,52,54,31,46,53,39,36,33,51,41,48,35,29,23
6,40,31,35,37,40,39,0,45,45,39,41,44,46,48,46,39,34,46,51,45,47,36,36,42,48,41,39,32,39,46,50,40,35,40,36,32,50,37,55,38,42,32,33,43,40,39,35,43,44,43,45,40,43,45,44,38,31,44,48,46,39,30,44,34,43,42,43,40,39,44,43,46,46,41,44,38,47,49,45,28,43,45,45,42,32,44,42,48,35,43,37,40,40,38,41,42,45,49,43,45,43,34,42,48,28,42,39,34,39,45,40,44,50,34,56,32,45,37,33,33,44,37,16,45,47,39,26,46,35,30,40,30,32,42,44,41,41,44,39,36,48,34,49,28,51,36,44,33,47,34,33,51,45,47,30,43,43,48,29,47,44,45,35,48,46,49,32,34,40,34,44,45,31,45,42,54,33,33,50,42,33,35,43,44,44,39,33,47,38,52,44,48,38,48,37,41,28,35,41,34,43,30,34,43,38,45,38,44,42,43,45,39,49,42,49,33,47,37,39,37,44,43,34,38,39,50,30,37,42,39,43,39,40,41,53,46,36,35,44,46,42,48,45,36,26,46,47,39,47,38,31,38,33,27,41,39,46,43,48,30,40,42,48,35,46,28,41,41,37,45,34,34,33,48,37,45,38,35,38,57,39,34,41,27,41,31,40,40,39,37,40,33,49,44,36,49,42,38,28,46,53,33,48,44,44,46,43,40,43,53,49,34,44,46,38,38,30,47,46,42,42,42,41,35,40,35,45,40,45,43,34,35,33,47,46,40,39,46,47,48,41,37,29,46,48,41,48,35,38,41,38,38,41,35,43,38,43,42,50,34,43,38,42,44,40,46,35,25,38,42,41,37,44,39,40,38,38,29,40,46,45,35,26,42,46,36,42,44,40,36,45,47,32,34,37,35,40,38,45,45,42,43,44,42,37,45,35,40,32,36,42,45,43,44,42,46,44,51,45,42,40,38,42,33,35,37,54,46,40,42,26,48,42,40,44,16,41,39,41,41,44,39,47,36,43,39,47,42,46,40,36,46,45,44,41,23,39,42,34,45,51,42,40,39,42,37,49,40,46,49,36,46,47,38,43,44,31,38,44,46,35
7,51,41,37,50,50,53,45,0,29,48,42,49,24,33,47,42,37,46,46,46,37,37,38,47,51,39,45,40,34,53,54,32,24,44,51,50,32,44,46,49,47,42,36,33,49,42,52,36,32,40,45,34,53,32,25,44,21,53,38,25,49,33,55,40,36,36,54,34,49,56,35,49,33,46,56,29,43,46,49,30,34,34,38,60,52,34,61,46,40,42,36,52,30,24,49,52,34,38,46,33,55,49,48,37,33,38,50,35,51,52,41,31,37,44,46,46,33,44,41,39,37,29,17,46,32,39,25,41,43,27,36,37,52,38,29,44,45,43,53,47,52,46,44,37,31,36,45,35,49,48,57,44,34,45,39,53,43,37,41,37,40,35,41,40,49,36,25,35,49,23,44,42,34,45,27,43,55,37,43,62,22,49,37,38,37,36,30,46,53,29,57,57,50,36,44,43,35,40,52,39,40,23,50,45,41,43,47,39,32,37,45,44,29,38,47,42,37,37,43,55,38,27,44,52,29,51,43,52,32,51,52,42,60,25,47,52,30,49,49,57,44,60,44,49,31,46,50,51,58,49,20,46,37,22,53,41,48,38,58,34,35,49,39,43,47,25,38,64,43,29,41,34,34,48,45,44,36,32,60,43,39,35,35,24,38,49,55,41,32,53,47,40,40,47,33,40,38,51,31,40,52,30,52,31,44,41,56,42,58,36,53,44,34,46,44,50,29,51,30,38,43,49,40,27,51,30,49,52,48,49,31,31,51,50,52,43,33,48,37,35,43,33,45,36,55,42,56,51,41,31,44,40,48,29,54,34,33,43,41,40,51,37,49,55,50,36,50,17,60,33,57,38,30,56,55,50,58,23,62,33,57,38,40,39,46,43,45,41,41,51,56,33,45,38,32,41,47,46,62,47,47,52,46,37,33,26,50,49,46,24,55,30,62,39,41,29,60,40,45,47,44,54,51,33,57,49,34,48,47,58,24,51,29,31,42,17,46,54,44,40,49,44,47,46,31,48,39,42,35,50,32,50,34,35,51,33,59,47,43,34,47,48,29,51,47,46,35,46,45,34,45,47,43,41,36,50,43,49,25,35,20
8,36,24,29,19,30,32,45,29,0,30,41,25,62,44,39,33,19,40,37,35,38,38,36,34,38,24,21,19,30,29,38,57,42,25,29,19,64,23,35,35,26,36,41,43,18,33,22,31,37,33,30,38,27,39,55,35,40,35,49,40,21,25,29,26,45,31,33,42,43,34,39,46,43,32,30,46,38,33,39,34,36,49,47,28,21,49,33,37,23,47,41,19,63,35,24,26,35,48,37,66,29,31,38,53,26,48,32,33,25,26,47,53,54,26,40,31,40,20,33,41,42,44,10,33,48,38,26,30,19,36,37,34,14,42,44,38,27,33,26,16,37,27,39,38,51,25,43,38,38,37,22,33,42,51,24,21,29,29,19,37,43,26,35,51,31,46,36,36,37,33,36,36,28,37,46,28,23,39,46,38,36,26,46,50,47,37,42,40,23,56,29,42,27,47,29,39,25,30,26,29,35,33,20,33,30,27,35,45,46,18,35,44,69,42,37,20,58,38,41,25,45,41,23,26,55,37,23,18,32,16,32,42,22,57,45,46,38,22,32,28,33,25,40,25,31,39,27,26,36,24,44,27,41,33,24,31,40,42,35,26,56,32,46,31,29,27,48,29,19,39,21,40,47,47,25,41,36,36,32,37,33,39,43,25,37,17,23,27,46,21,42,27,42,38,35,35,43,35,28,39,29,24,38,55,34,50,22,31,38,35,34,15,56,34,24,32,28,27,64,41,33,31,42,41,34,38,29,34,35,26,31,45,26,28,23,36,41,49,50,38,37,47,17,43,33,24,26,20,36,44,31,36,32,43,20,40,52,29,44,35,36,35,24,39,27,35,33,28,19,51,28,40,66,29,31,31,33,36,23,64,29,36,21,29,38,27,42,55,35,24,25,62,22,19,27,25,20,34,27,35,38,27,29,27,40,57,28,26,23,33,23,44,28,36,43,39,40,52,40,36,25,18,31,28,33,37,58,40,34,22,29,26,61,38,33,10,28,31,26,39,25,26,34,35,39,26,52,52,50,23,29,36,44,49,30,18,28,22,25,53,41,30,56,27,24,34,59,29,31,46,31,29,37,19,53,29,21,24,57,52,48
9,44,46,34,50,46,45,39,48,30,0,38,50,31,41,48,40,33,41,54,41,42,36,34,48,41,39,42,38,43,44,53,31,32,42,55,47,34,43,44,43,48,47,39,34,42,38,41,38,34,45,42,38,50,37,34,39,26,43,31,25,46,32,50,43,28,42,34,31,45,50,33,39,34,34,43,41,46,38,40,36,37,35,35,52,41,38,44,41,39,42,35,47,33,28,48,57,37,39,42,29,47,47,62,42,34,34,40,39,49,43,49,41,37,46,47,45,35,44,44,29,51,33,21,44,37,35,24,39,31,24,26,44,46,44,33,38,41,38,50,49,49,42,50,26,38,35,48,34,43,45,44,44,32,40,39,52,49,40,45,37,46,44,34,44,43,40,32,29,33,29,47,36,35,50,26,43,49,28,45,42,29,36,58,41,39,28,28,42,42,37,49,48,44,37,41,44,38,33,47,28,38,28,40,39,36,42,41,36,31,33,39,36,40,40,59,42,40,35,29,44,41,32,38,48,37,43,36,45,32,47,47,44,47,31,47,51,33,39,50,47,46,51,38,44,34,59,44,50,53,42,23,41,36,23,49,32,40,38,43,31,32,44,35,47,51,23,41,51,38,33,39,35,36,43,39,41,40,29,50,45,36,37,33,20,38,43,55,35,35,51,38,37,34,41,44,45,32,42,34,35,50,32,48,40,36,47,44,36,43,37,46,46,34,42,45,53,21,42,32,39,37,40,37,28,48,34,52,44,42,48,33,30,43,44,59,56,25,37,32,37,49,29,46,39,54,40,42,40,35,32,46,31,43,29,50,33,34,49,46,42,49,28,40,50,44,37,43,35,51,32,41,42,33,46,42,49,49,25,51,35,52,27,36,34,50,36,44,39,38,44,42,38,44,32,29,38,48,47,49,57,58,42,42,38,32,37,49,48,44,22,50,37,56,43,46,31,46,42,45,46,43,49,43,31,45,48,37,37,35,51,27,46,28,36,45,11,43,49,39,41,41,40,42,38,35,45,41,40,31,45,30,41,43,38,45,25,45,42,40,43,51,40,32,52,39,39,33,42,50,40,46,49,60,32,35,47,36,40,40,40,27
