,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293
0,0,4,28,19,7,9,34,21,23,7,21,17,18,32,9,29,37,20,24,38,17,23,18,18,12,21,22,4,7,22,26,24,19,26,27,20,21,14,23,25,25,21,22,22,7,21,19,32,3,16,13,27,11,34,25,10,23,21,19,21,17,18,18,19,21,13,12,21,27,19,21,17,24,27,28,21,26,36,26,21,24,21,30,0,14,29,31,22,18,23,23,20,27,29,29,36,24,15,19,16,22,15,16,20,23,30,27,21,24,22,8,23,20,22,22,11,23,24,18,17,28,29,10,26,32,17,35,9,17,28,11,20,26,34,19,34,25,19,19,24,21,26,27,20,23,23,13,36,34,22,25,20,20,14,8,29,28,22,14,27,20,15,18,29,26,18,25,17,21,14,19,25,23,28,21,19,19,21,24,14,28,26,23,34,23,27,22,21,21,15,16,27,30,21,28,28,20,35,35,23,22,22,22,16,18,19,25,24,20,17,21,21,15,20,23,32,20,22,24,21,40,17,27,33,24,20,30,28,16,24,26,5,27,34,16,19,21,26,29,20,27,21,16,14,17,21,34,28,10,39,20,17,19,21,25,21,19,17,8,2,30,20,27,23,22,24,22,25,18,23,31,26,40,22,22,22,0,31,4,18,25,18,17,22,20,16,17,24,17,8,22,27,30,31
1,4,0,10,3,9,1,6,7,10,5,9,9,11,4,3,3,5,5,10,5,7,8,6,8,5,6,9,2,4,9,9,8,10,9,6,3,5,4,5,8,8,8,6,10,2,7,7,7,1,7,5,10,6,5,8,4,8,8,6,7,4,6,6,3,6,6,6,7,5,7,4,6,7,3,8,9,7,7,9,7,10,10,3,0,7,4,4,7,7,2,9,2,9,7,4,4,10,3,9,10,7,4,9,3,7,6,9,11,10,10,2,11,8,8,10,8,7,11,6,8,5,5,6,5,7,8,8,5,6,6,5,9,9,9,8,5,5,4,10,8,7,7,6,6,11,9,10,8,9,5,6,10,8,11,8,5,7,8,8,5,4,6,7,9,7,7,5,9,6,7,10,7,10,9,6,6,9,5,10,8,7,5,5,7,10,8,10,8,9,11,6,8,6,9,4,2,5,4,5,7,6,10,6,8,7,6,8,11,8,5,8,3,6,9,7,6,8,9,3,6,3,7,8,5,9,11,5,5,7,6,7,4,9,5,4,4,5,5,8,8,10,9,7,6,9,11,7,5,3,8,7,4,7,2,4,6,7,10,6,2,8,9,7,11,8,7,8,7,8,7,6,8,7,5,5,5,0,5,1,8,8,10,10,11,7,8,9,6,7,9,7,5,7,7
2,28,10,0,18,19,6,29,51,54,27,55,59,56,28,17,28,40,60,42,20,45,35,28,50,30,42,66,15,25,48,46,48,40,48,42,16,25,32,41,32,47,47,43,54,12,29,62,40,9,49,19,45,49,10,60,12,28,51,46,54,37,51,22,28,48,48,45,52,21,31,21,41,56,32,63,48,55,38,57,52,63,74,28,0,47,21,25,63,39,20,62,36,43,30,47,29,50,27,47,50,50,30,54,21,39,18,57,58,49,64,4,76,60,53,53,16,48,54,42,56,43,47,31,47,45,63,39,32,33,27,28,50,54,59,56,23,30,29,45,66,56,31,42,37,64,52,50,47,43,24,54,58,44,50,8,24,60,49,49,47,43,34,53,63,27,33,14,46,33,45,36,52,70,61,41,15,55,32,73,57,48,48,15,29,67,41,57,49,42,52,35,68,41,50,19,18,40,21,12,41,40,60,27,39,54,25,31,46,39,35,70,32,43,43,51,34,66,57,13,26,18,27,54,25,68,72,25,18,49,48,45,29,55,21,28,21,39,39,38,55,60,63,51,35,53,73,27,22,12,23,43,53,60,28,41,35,56,60,14,3,54,46,44,49,64,40,38,50,58,31,26,38,27,38,25,39,0,38,1,34,32,62,55,65,47,38,38,23,42,29,47,45,42,26
3,19,3,18,0,7,8,17,22,18,11,24,15,19,31,8,19,27,21,21,30,20,22,10,17,9,15,18,6,11,17,15,18,17,27,15,12,19,12,21,19,17,16,18,17,9,21,18,22,4,16,24,20,12,25,19,11,20,15,18,19,19,14,19,16,15,13,12,23,16,16,19,17,14,21,25,13,23,26,13,18,23,22,20,0,16,16,18,22,23,11,13,24,19,23,23,25,26,15,18,19,19,15,14,18,21,24,26,16,18,18,7,22,16,15,14,8,18,17,14,15,32,24,8,13,27,14,31,15,22,24,13,12,18,16,19,21,12,8,13,22,20,19,20,18,17,20,20,22,20,17,25,18,15,18,3,18,27,21,14,20,17,22,20,23,20,15,23,15,15,16,23,21,18,24,21,11,17,18,17,15,22,11,25,26,17,23,25,17,20,19,20,22,15,18,25,24,15,27,21,18,29,20,19,11,18,14,17,19,12,11,23,13,12,17,24,15,20,17,25,18,24,9,25,18,22,19,24,14,22,27,14,12,20,25,16,13,16,19,17,15,25,18,12,9,20,22,23,20,10,22,13,20,21,16,22,15,14,18,6,1,21,21,22,17,20,20,23,26,19,23,21,23,23,28,17,22,0,18,1,23,20,18,15,17,17,21,13,21,18,9,16,11,20,26
4,7,9,19,7,0,3,13,15,18,13,15,15,17,10,8,12,15,15,15,12,18,14,13,14,11,16,15,3,11,11,16,18,14,15,15,6,15,10,17,12,17,16,17,18,6,14,13,18,4,15,9,19,16,10,18,5,15,15,16,14,12,15,10,8,12,16,13,12,13,11,8,13,16,10,18,16,18,10,15,11,17,18,15,0,12,10,13,13,17,13,16,12,13,13,15,14,16,8,12,12,14,9,13,12,12,16,18,19,19,17,5,17,14,13,18,32,13,16,8,14,13,18,8,14,19,15,14,14,15,15,11,17,13,14,14,14,11,8,15,18,17,11,14,15,14,13,20,13,17,11,16,15,12,15,4,14,20,18,12,15,12,13,16,19,15,13,11,11,13,10,14,17,18,17,13,9,18,10,20,16,14,15,12,17,18,12,15,18,17,15,11,15,15,12,11,11,12,10,10,11,11,19,10,15,11,13,15,22,13,8,14,10,12,12,16,11,17,11,7,10,14,11,15,11,17,17,15,12,15,13,20,7,19,14,10,8,12,11,13,14,18,15,11,11,14,17,14,13,7,14,15,15,14,10,15,13,15,15,6,2,16,16,12,13,15,11,14,14,15,15,10,11,10,14,13,9,0,10,2,11,14,17,16,17,10,11,11,12,9,11,13,12,18,11
5,9,1,6,8,3,0,11,6,4,6,6,3,2,11,9,8,9,3,6,12,4,10,5,2,3,4,3,0,12,4,10,5,7,9,8,10,7,7,8,10,8,5,10,6,5,6,3,7,5,5,14,6,8,13,2,3,10,5,5,4,8,7,12,10,6,7,4,6,9,7,14,5,9,8,8,9,7,6,7,4,5,4,11,0,3,9,9,3,3,12,4,9,8,7,8,13,4,6,5,7,7,9,3,8,7,10,3,5,6,5,3,4,2,10,5,4,9,8,2,4,9,6,3,5,10,4,10,9,9,8,7,8,8,5,5,14,5,4,7,6,5,9,9,9,6,4,7,14,10,5,6,6,8,6,1,5,8,7,1,7,9,4,3,6,8,5,10,2,8,9,9,8,4,7,8,6,14,5,3,4,7,6,7,11,3,7,1,9,6,4,6,3,9,2,6,10,5,10,13,6,6,3,15,7,4,4,9,6,3,6,3,6,7,5,6,9,2,7,14,3,9,8,8,8,4,5,10,12,7,4,5,3,5,7,7,8,5,13,7,12,6,4,3,6,3,5,8,9,3,12,5,6,6,5,5,3,5,8,1,1,5,5,6,4,5,5,10,12,2,10,7,9,11,5,9,7,0,9,0,9,9,5,3,3,6,7,3,10,3,6,5,7,12,10
6,34,6,29,17,13,11,0,27,27,14,22,20,25,26,21,25,34,22,32,34,26,25,15,20,19,29,20,3,18,23,23,33,21,24,33,21,20,13,32,28,31,22,25,22,7,30,21,34,4,19,24,34,13,27,29,13,26,24,25,24,15,25,19,20,19,27,17,26,22,27,25,20,37,30,24,27,28,38,24,24,26,25,29,0,16,30,28,25,23,27,23,27,25,30,29,27,23,13,26,24,28,17,23,23,23,28,27,27,22,20,10,26,25,28,28,18,22,25,22,22,36,32,13,29,36,21,32,11,27,26,16,24,28,32,27,36,26,22,25,24,26,31,26,22,27,21,20,32,35,21,31,19,24,19,7,30,32,25,20,36,18,18,35,31,26,26,26,19,20,18,29,29,26,27,25,18,29,22,21,20,26,30,13,31,29,24,31,26,30,17,16,30,30,22,23,31,19,27,35,20,31,28,18,20,21,16,26,33,25,15,24,21,17,18,30,31,24,26,28,22,35,17,32,29,20,25,29,23,24,25,26,7,26,38,24,20,16,22,32,27,34,24,19,10,18,26,31,35,7,34,22,27,22,25,24,19,23,23,4,1,29,23,17,20,29,25,22,24,20,24,25,28,35,28,24,20,0,30,3,19,30,24,22,26,19,21,12,17,23,16,29,30,24,35
7,21,7,51,22,15,6,27,0,44,23,45,47,50,21,18,30,42,46,32,23,33,31,25,36,27,32,51,14,23,45,33,43,36,40,39,19,19,24,40,36,41,43,32,49,10,28,51,41,8,36,22,34,41,23,50,14,26,40,37,49,27,39,24,23,32,37,37,50,27,33,17,34,44,32,40,40,44,43,39,49,56,54,31,0,43,22,21,55,34,19,46,31,37,31,40,31,40,23,44,33,44,19,54,25,37,29,50,47,42,48,8,57,42,44,41,16,44,43,39,46,47,44,25,39,46,46,33,28,28,40,25,40,44,42,40,22,31,27,37,49,56,31,32,30,50,46,44,30,29,23,36,47,40,43,6,33,46,42,40,43,38,37,38,51,31,30,24,39,33,36,31,50,53,56,33,14,35,32,46,53,38,40,18,23,50,46,42,40,34,43,29,57,34,44,21,19,30,31,21,41,34,46,24,33,46,15,28,38,38,21,55,25,34,35,40,33,50,41,18,30,23,22,43,24,52,54,47,20,33,43,38,21,46,30,26,23,34,28,38,41,48,50,43,26,48,57,35,28,12,28,40,46,45,31,42,26,42,51,13,2,46,41,44,43,49,35,28,40,49,32,27,30,29,36,22,30,0,39,2,30,37,47,39,54,31,30,29,32,32,21,38,35,34,34
8,23,10,54,18,18,4,27,44,0,22,45,48,48,26,15,16,40,43,29,25,41,29,27,42,24,37,52,12,15,43,37,37,37,50,33,15,24,29,31,36,37,40,36,50,11,35,47,32,6,42,22,44,36,22,48,12,24,47,37,45,30,40,24,24,39,33,32,49,21,32,18,32,41,27,50,37,45,33,38,43,54,61,19,0,35,15,26,51,41,18,44,30,43,30,40,31,46,21,42,35,37,23,39,20,36,24,48,50,43,55,6,61,50,47,42,20,36,41,32,44,38,38,24,37,44,55,35,22,32,32,24,36,42,54,40,20,25,27,41,58,43,29,38,34,57,46,45,48,39,20,46,43,37,44,7,23,51,41,44,38,29,35,45,51,24,29,21,37,33,34,34,47,58,55,34,12,48,32,53,42,37,39,17,26,51,41,46,34,37,46,32,56,34,43,25,21,34,24,13,30,42,52,30,29,47,15,29,42,34,25,53,32,37,32,46,29,53,50,17,26,19,23,54,17,56,58,34,21,45,41,41,20,44,20,25,23,27,31,33,41,54,50,35,31,46,57,33,23,9,26,32,39,49,24,33,29,42,47,10,3,41,36,33,46,46,34,31,39,50,27,25,27,26,42,31,31,0,26,2,30,30,51,42,57,40,30,28,20,31,26,44,37,40,25
9,7,5,27,11,13,6,14,23,22,0,23,29,25,11,12,14,21,26,18,10,20,15,13,23,13,18,25,5,16,17,17,20,18,19,14,6,12,23,22,15,18,18,26,24,7,15,24,22,4,25,17,24,20,12,25,9,15,17,23,23,20,25,16,13,18,19,19,20,14,16,14,18,21,15,25,20,23,20,15,23,30,33,10,0,21,10,17,27,23,18,23,11,14,16,21,10,21,16,24,22,24,14,24,11,13,12,22,24,23,27,2,31,23,19,23,14,24,22,16,20,23,25,13,20,17,24,19,20,22,18,41,21,20,23,22,12,12,7,22,27,24,18,15,20,25,21,28,21,16,18,21,26,17,26,3,14,24,23,18,17,23,17,22,27,15,19,9,19,16,24,17,26,30,25,23,10,26,13,27,24,16,19,8,13,26,21,22,18,20,25,14,25,16,21,12,11,20,8,6,15,21,29,15,19,23,12,13,18,20,11,27,12,20,17,21,12,24,27,9,13,9,10,23,13,31,30,18,9,21,24,22,11,25,16,14,9,15,19,20,22,26,24,21,17,21,27,17,14,6,11,19,24,24,15,18,17,23,29,6,1,19,18,15,19,25,20,17,19,23,16,14,13,11,20,19,17,0,13,1,21,18,26,22,25,19,20,15,13,20,16,22,17,23,11
