,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348
0,0,36,18,28,39,21,51,45,53,38,46,47,40,29,26,36,43,45,26,51,28,42,14,28,50,55,24,36,48,40,46,39,48,38,22,13,45,29,50,6,50,31,40,27,31,31,42,41,22,53,38,25,33,57,52,50,24,39,32,56,18,48,23,33,30,22,49,44,39,41,33,31,35,40,34,35,32,38,48,32,35,42,57,31,46,12,32,38,47,31,37,29,35,42,42,36,44,44,46,54,42,32,23,30,41,38,47,30,48,55,35,50,61,35,34,34,33,5,41,40,40,33,30,55,40,52,53,34,48,47,16,17,48,43,23,36,18,37,7,37,35,30,21,39,19,32,32,39,29,26,32,29,37,36,46,43,42,30,45,42,51,24,23,59,46,49,55,21,39,40,12,41,37,29,37,41,48,49,49,42,49,48,31,45,26,21,18,27,47,31,50,23,48,28,43,24,43,47,38,31,27,39,45,40,41,47,12,37,33,28,50,30,15,35,13,45,28,37,44,36,50,50,26,28,46,44,40,31,43,25,39,31,29,30,43,38,37,14,46,0,39,43,22,45,48,32,31,13,15,36,42,31,55,58,31,29,39,37,25,39,50,44,44,48,33,49,35,38,46,23,21,20,55,41,46,32,40,0,38,49,44,40,33,36,45,44,36,28,32,44,12,32,41,54,13,42,29,50,35,33,60,36,42,42,44,31,32,21,36,23,48,29,44,51,19,44,40,38,27,43,39,41,47,31,34,53,31,0,34,32,36,39,26,34,31,61,44,33,47,43,48,31,34,39,20,55,32,42,44
1,36,0,15,24,45,29,58,42,51,46,40,48,40,31,30,50,37,50,37,49,24,40,14,28,45,53,29,24,47,48,36,42,40,28,22,12,44,30,42,11,41,28,40,31,30,32,44,31,22,56,33,17,36,53,51,45,22,36,40,49,23,46,20,45,31,22,55,40,40,36,38,31,41,41,34,34,29,39,47,41,31,33,47,40,32,20,29,43,46,31,32,24,39,45,49,38,41,44,38,48,43,31,28,37,46,46,55,24,43,50,42,46,53,37,24,42,33,4,34,41,37,29,36,54,37,46,46,37,37,38,24,14,42,37,22,35,25,35,9,36,33,33,26,50,33,28,34,33,26,25,28,18,36,29,47,48,47,29,39,47,32,30,22,45,38,39,46,26,42,39,13,30,35,29,39,44,22,48,49,34,54,45,40,40,44,23,23,25,47,32,44,27,41,35,40,27,46,54,41,33,23,35,58,39,50,43,15,37,33,26,49,34,17,36,13,46,37,42,45,32,42,45,35,33,42,42,38,30,41,23,43,32,36,32,34,37,30,13,43,0,42,38,37,46,42,40,29,13,18,41,45,33,57,52,35,31,44,33,37,43,48,45,38,37,39,42,33,28,34,23,18,29,52,46,46,42,41,0,34,50,40,49,32,29,38,50,41,30,28,37,10,28,34,44,18,38,38,43,29,35,54,48,40,43,37,42,47,24,41,22,46,32,39,48,20,40,46,40,39,48,38,51,36,32,32,49,32,0,31,26,41,39,25,31,36,32,37,31,45,45,43,30,38,49,23,47,42,41,33
2,18,15,0,13,15,15,12,6,5,20,12,10,18,38,36,28,11,14,38,19,3,5,40,36,7,17,15,17,5,22,14,15,14,20,16,12,14,25,8,9,8,32,5,21,22,13,9,25,12,3,8,9,15,5,11,8,16,26,10,4,31,12,21,24,12,11,13,16,7,16,8,20,23,13,4,22,22,37,7,10,11,20,16,10,12,12,15,12,12,7,14,21,24,24,21,22,5,16,4,4,17,1,24,22,20,11,11,7,8,7,14,17,4,10,17,28,20,9,6,11,21,20,17,7,8,9,8,16,7,9,29,20,4,18,14,9,11,23,18,37,25,6,10,14,20,5,17,5,24,13,13,9,5,18,9,8,14,9,5,16,12,25,3,10,28,10,4,19,18,19,15,8,37,8,11,11,15,7,14,17,16,8,20,11,25,47,6,42,16,14,13,18,16,38,26,9,14,10,25,18,4,4,6,23,17,24,33,10,14,15,8,11,12,3,4,13,34,13,9,13,7,9,22,18,5,11,7,6,9,18,25,33,28,18,6,11,8,16,7,0,15,9,13,17,4,28,8,21,12,18,13,4,3,9,20,14,22,12,13,20,5,11,20,17,8,5,19,28,10,18,44,16,18,15,33,13,8,0,28,13,23,9,5,33,14,13,11,30,19,9,8,29,12,5,35,16,42,4,15,20,5,13,3,1,12,22,7,22,14,51,12,23,3,11,49,17,14,8,38,13,5,16,9,19,11,15,17,0,5,6,8,13,42,13,10,15,16,13,8,11,10,10,16,11,15,18,10,10,11
3,28,24,13,0,34,18,32,29,35,31,31,33,30,18,23,28,24,27,28,26,19,27,13,16,34,35,20,22,29,32,23,28,31,28,34,8,33,17,39,5,33,25,29,14,23,17,33,25,19,33,29,17,28,37,34,33,19,24,24,35,19,29,15,27,25,16,31,31,28,29,23,25,24,32,20,31,18,19,33,22,18,23,35,20,22,14,17,27,27,25,24,20,28,30,25,28,30,36,23,35,33,24,19,27,27,30,25,19,29,36,29,28,40,26,25,32,18,6,26,30,22,21,21,33,25,38,30,21,26,34,19,17,31,26,19,25,19,26,8,23,21,18,21,32,15,19,20,30,28,16,19,19,30,16,33,35,31,24,34,31,30,21,15,38,29,33,31,21,24,22,9,33,22,19,25,34,19,30,33,30,29,30,35,32,22,20,18,20,33,18,32,26,31,26,29,21,32,25,25,29,21,26,26,24,28,25,11,25,26,22,28,28,7,22,9,21,24,36,31,22,28,37,17,14,29,30,27,20,32,15,22,20,23,20,28,29,25,15,34,0,24,34,27,25,30,21,22,8,15,21,29,22,37,36,23,19,26,28,27,30,33,26,34,26,24,28,28,22,25,16,11,20,37,30,30,15,26,0,21,34,30,28,24,27,25,33,26,24,22,32,10,22,27,32,18,33,27,34,18,20,40,22,27,31,31,20,17,14,25,20,25,17,28,33,18,31,30,23,26,30,29,31,25,26,20,37,21,0,23,21,33,25,12,19,23,26,31,25,26,27,31,25,34,27,15,34,22,25,30
4,39,45,15,34,0,18,57,50,58,47,47,51,45,21,26,43,46,53,46,42,33,49,17,25,52,52,30,32,47,48,40,36,49,43,28,12,48,27,54,10,52,28,48,29,33,34,52,35,29,59,45,20,39,58,52,51,31,34,45,59,21,41,17,35,39,28,49,45,47,34,44,41,28,46,37,44,27,32,50,45,32,41,51,39,46,13,33,41,54,36,37,32,43,40,47,38,48,55,40,58,44,38,24,38,46,46,49,27,52,57,55,45,63,40,40,43,26,3,40,53,37,34,33,57,37,52,55,34,53,44,20,15,46,49,33,42,30,37,10,30,32,29,22,48,28,33,33,42,37,32,33,28,42,27,66,55,40,38,48,48,44,28,27,54,37,53,54,25,36,44,9,44,35,28,44,68,30,47,50,50,42,47,44,48,33,22,27,28,46,35,53,23,43,24,45,37,52,54,39,34,26,43,44,38,48,45,14,44,43,24,49,44,17,34,18,44,35,42,48,36,43,57,27,22,51,50,44,37,43,25,34,24,30,34,49,41,39,15,53,0,45,42,34,42,49,33,29,11,19,36,48,37,59,56,46,30,34,42,36,42,56,47,45,43,38,50,34,28,40,24,22,27,54,68,45,37,44,0,33,50,52,50,35,36,37,45,45,34,32,43,19,28,39,52,19,39,26,54,35,34,59,37,48,47,47,37,31,24,41,23,52,30,46,56,22,41,71,37,27,65,44,41,45,32,36,57,28,0,39,31,42,43,20,34,40,38,41,42,51,48,48,33,43,53,25,52,40,45,45
5,21,29,15,18,18,0,23,23,24,29,25,24,23,24,22,21,18,28,29,21,16,21,23,25,19,28,12,21,23,29,20,16,20,25,12,20,24,19,20,8,21,22,19,20,23,20,25,19,13,25,15,14,21,27,24,26,22,21,15,25,17,22,15,18,15,18,29,18,21,24,15,18,18,23,19,24,21,24,21,17,19,20,25,19,18,12,16,27,20,20,19,19,21,20,25,24,17,26,20,22,24,16,17,30,24,28,25,12,20,23,20,26,29,18,18,24,18,5,15,27,24,17,24,29,21,21,24,28,23,25,14,16,21,17,19,15,13,23,8,30,20,16,16,25,25,15,15,19,18,19,12,11,16,18,21,28,30,21,19,23,21,22,11,26,31,23,24,11,26,22,5,15,22,10,17,19,17,26,27,21,28,24,17,26,22,22,17,21,27,20,20,19,23,24,23,15,25,23,25,21,19,17,23,33,25,30,12,21,24,17,22,18,15,20,4,20,23,23,19,20,20,21,20,12,19,23,18,20,18,15,16,26,20,18,20,24,15,10,31,0,16,23,28,22,18,21,12,6,7,14,27,19,28,30,19,14,21,18,17,31,23,20,27,19,23,25,22,24,18,18,12,19,30,20,27,14,16,0,24,26,23,23,18,22,21,31,22,14,23,23,2,16,25,20,20,25,25,23,21,22,27,15,14,21,22,26,17,17,19,25,27,18,16,28,26,25,21,24,29,22,18,25,23,19,17,26,26,0,19,14,17,27,22,17,21,21,25,17,26,23,23,21,24,26,11,24,27,18,16
6,51,58,12,32,57,23,0,57,68,46,53,56,50,28,25,51,47,55,35,61,34,55,13,28,63,65,33,33,64,51,47,41,59,40,27,13,55,25,67,10,58,30,55,30,41,37,58,39,28,71,49,23,44,71,67,63,29,44,41,73,24,59,27,48,41,32,64,50,58,47,38,42,37,54,48,37,32,33,60,43,40,41,59,49,53,21,34,52,64,39,46,31,47,52,56,40,57,54,53,68,61,46,27,42,52,49,66,30,60,69,49,59,76,43,36,49,36,8,50,59,44,34,40,70,49,64,65,47,54,56,28,12,56,48,28,48,32,41,5,38,37,39,30,56,27,39,36,49,41,35,36,29,54,39,57,64,51,42,60,60,53,28,28,67,47,58,69,32,46,52,7,47,31,32,49,52,35,57,59,51,56,65,42,58,42,18,31,22,61,41,63,27,60,31,48,33,53,69,42,38,32,49,60,46,51,53,9,45,44,32,67,41,19,44,16,60,35,49,61,41,58,67,27,30,63,62,54,39,55,25,44,31,32,35,51,48,41,14,60,0,52,51,37,57,60,40,39,9,20,45,58,43,71,68,47,37,48,43,40,58,67,62,53,53,46,63,49,37,48,31,19,33,62,52,50,48,56,0,37,60,50,57,43,37,49,51,53,36,30,50,16,30,46,63,15,50,32,62,47,42,78,63,56,58,54,40,46,26,50,19,54,35,56,68,14,50,55,44,31,53,54,60,50,40,41,64,35,0,44,35,49,53,23,36,49,50,55,43,60,56,57,37,51,62,26,65,43,51,51
7,45,42,6,29,50,23,57,0,58,43,47,51,44,19,17,41,41,59,36,51,33,51,7,17,56,52,28,25,53,41,38,35,49,32,25,9,48,23,54,8,51,20,51,30,31,33,51,32,30,60,46,24,37,63,58,57,33,30,39,64,15,46,17,32,31,27,57,44,52,38,41,31,29,49,41,37,25,26,56,40,31,41,49,37,47,10,32,42,49,32,36,31,39,42,42,32,51,53,51,60,52,35,19,31,43,42,55,31,52,66,46,52,68,42,34,40,23,4,45,52,35,32,31,61,43,55,60,37,51,48,13,9,50,48,26,44,28,36,5,26,29,30,25,48,22,35,29,45,34,30,30,32,45,25,51,55,44,36,52,50,49,27,27,61,39,53,60,31,40,43,4,45,26,28,41,49,37,52,52,50,39,52,37,52,30,10,25,17,49,34,54,19,41,21,42,28,48,51,38,30,25,44,53,41,45,45,6,46,44,21,54,40,17,36,16,47,21,46,47,39,50,62,28,22,53,53,50,41,48,26,36,22,29,32,46,44,40,11,61,0,38,45,35,48,55,27,37,3,16,34,50,35,67,66,40,28,39,39,34,49,58,49,44,44,43,53,36,29,43,24,17,23,55,53,40,30,52,0,33,57,46,50,36,32,43,44,48,26,26,49,15,22,42,54,15,42,19,62,40,34,67,41,48,50,48,35,38,18,38,12,44,22,54,62,8,42,53,44,22,54,48,42,46,31,29,54,30,0,40,33,43,44,12,29,36,46,48,40,51,50,44,31,41,46,18,50,43,47,45
8,53,51,5,35,58,24,68,58,0,52,56,60,49,19,25,48,54,56,33,58,39,55,8,18,64,63,27,34,63,51,47,40,61,38,27,11,60,24,64,10,63,27,60,28,34,30,58,37,25,75,51,26,43,74,65,62,29,42,45,78,14,58,24,39,38,29,60,55,55,45,44,41,32,56,47,38,30,26,59,47,36,44,59,48,49,13,36,47,62,37,48,32,47,46,50,42,58,57,58,73,53,46,22,40,50,48,59,36,67,69,55,58,80,44,34,41,31,4,51,61,41,37,40,74,50,69,68,46,61,57,18,14,59,48,32,47,32,43,4,30,32,38,26,57,26,41,37,55,39,35,38,27,58,33,58,65,48,41,61,59,55,23,33,69,41,60,73,26,46,54,5,50,29,31,50,55,40,62,55,52,55,62,42,60,42,10,29,15,59,31,66,26,52,28,45,36,57,65,35,41,33,51,59,44,53,52,6,48,51,27,69,47,20,49,17,56,25,48,65,45,60,66,29,25,63,60,55,44,56,27,37,30,34,37,57,49,45,13,59,0,46,56,37,53,62,33,41,5,21,40,59,45,73,73,42,37,41,44,37,55,71,58,53,48,44,63,40,34,54,24,14,30,66,57,45,44,57,0,36,68,51,59,44,33,47,52,52,30,32,53,15,29,50,64,8,50,27,66,40,38,83,48,58,61,60,40,43,18,45,10,54,34,57,70,7,52,55,47,29,56,66,52,56,38,42,66,33,0,43,38,50,49,17,37,40,50,58,41,60,60,59,34,45,59,27,61,45,53,53
9,38,46,20,31,47,29,46,43,52,0,39,48,42,36,31,42,37,48,40,41,27,42,24,36,47,50,27,28,41,59,35,38,49,33,24,16,46,27,45,13,49,38,44,30,30,31,43,42,19,54,39,21,39,58,48,45,31,47,37,51,29,45,34,35,33,28,44,53,39,39,42,43,46,50,38,41,41,36,44,39,30,34,46,36,35,17,39,41,46,38,38,39,41,44,37,32,45,51,39,49,48,37,33,36,46,45,41,25,43,49,47,37,54,34,32,39,38,8,36,48,47,37,35,54,40,51,54,43,48,40,20,25,42,37,24,36,30,41,13,34,39,28,22,71,31,33,37,43,33,27,28,24,40,39,47,56,46,30,39,52,43,28,20,50,44,46,50,21,47,39,13,35,36,32,37,45,33,50,46,43,47,43,43,44,33,31,26,32,41,27,48,27,41,41,41,34,76,53,38,34,21,40,45,34,67,43,25,42,39,35,54,43,22,33,16,38,28,42,46,31,41,55,36,29,44,43,38,34,39,32,47,44,33,33,43,38,33,17,44,0,39,44,38,37,42,41,33,14,20,32,43,30,53,57,40,29,46,31,33,51,48,49,40,37,39,44,34,27,43,25,28,30,50,46,33,43,42,0,41,50,45,46,37,35,32,47,39,38,35,45,12,31,36,48,27,47,41,47,38,39,52,44,43,50,50,37,31,24,38,30,42,38,40,53,31,45,46,39,46,46,48,50,40,34,27,48,35,0,37,26,43,44,30,32,34,32,38,32,50,43,46,28,34,48,20,52,40,44,43
