,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293
0,0,0,7,6,5,6,22,3,6,5,2,7,8,2,2,6,12,3,2,5,6,10,6,3,3,5,12,1,1,3,6,6,5,6,2,2,7,7,6,5,3,3,5,2,2,5,2,9,1,1,6,9,2,4,2,1,2,10,5,0,4,5,5,10,2,4,9,18,6,7,4,3,1,6,3,3,6,3,2,2,4,15,3,0,2,4,5,1,3,5,3,5,9,6,7,8,3,2,2,3,10,5,4,5,5,6,6,4,5,16,1,9,3,4,3,5,7,2,6,2,3,6,2,3,6,7,6,7,5,9,5,4,7,8,4,8,5,5,7,5,4,2,10,4,4,3,1,8,9,4,1,8,7,5,0,6,8,1,1,4,5,5,4,5,2,7,5,2,7,2,8,6,2,5,4,0,7,1,15,2,1,5,1,5,5,6,1,4,8,4,3,4,7,2,5,2,6,8,5,4,2,20,7,1,4,8,7,2,1,6,5,5,8,5,3,5,1,9,6,6,8,6,8,9,8,8,6,4,7,5,3,3,4,3,2,5,4,2,6,6,15,6,3,6,8,3,7,9,1,7,3,1,6,7,3,7,7,0,0,1,6,1,2,5,1,5,1,12,3,2,5,2,5,5,7,2,0,9,0,3,1,11,19,2,2,3,3,11,2,0,4,2,2,7
1,0,0,0,0,1,0,0,0,1,2,0,1,0,1,1,1,0,2,1,0,1,1,1,1,1,0,0,0,1,1,0,2,3,1,0,0,1,0,3,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,3,1,0,1,0,0,0,2,2,3,1,0,0,0,2,0,2,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,2,7,1,1,2,0,1,0,3,0,2,0,0,1,1,3,0,0,2,1,0,1,0,1,1,0,0,1,0,2,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,2,0,2,1,1,2,1,1,2,1,1,0,1,0,0,0,2,0,0,1,1,0,0,2,1,0,0,0,0,1,1,2,1,0,1,1,0,1,0,1,1,1,1,0,1,0,2,1,2,1,0,2,1,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,1,1,1,0,1,0,1,0,0,2,0,1,0,0,0,1,1,0,1,0,0,1,1,7,0,0,1,0
2,7,0,0,5,2,7,8,5,4,4,7,4,2,7,2,6,11,8,6,1,3,6,8,4,2,10,9,1,6,7,6,7,5,5,7,3,4,2,2,7,8,22,3,5,3,5,4,5,1,7,6,5,5,8,29,6,7,7,7,8,6,13,3,8,3,8,6,7,2,5,2,2,7,12,5,6,6,3,26,7,9,10,6,0,6,3,7,6,7,6,29,7,8,7,2,11,7,3,6,7,4,5,5,3,5,8,2,4,6,6,1,11,3,9,4,3,5,5,5,3,6,5,2,3,12,9,10,10,9,8,4,8,6,5,7,6,2,2,4,6,5,2,4,4,7,4,7,7,7,6,6,9,9,4,2,5,9,6,4,4,4,6,4,6,3,6,8,4,5,5,4,8,14,8,3,3,4,2,42,8,6,1,1,7,3,4,7,3,3,3,8,6,6,4,6,5,3,8,6,18,6,10,5,5,6,3,3,6,5,3,8,6,6,6,9,4,9,5,8,6,6,3,4,5,8,10,6,2,7,10,5,4,5,7,3,3,4,13,4,6,16,8,3,5,8,13,6,6,1,9,4,11,8,3,3,8,8,8,1,1,3,10,3,2,3,7,5,7,5,8,2,6,6,9,5,6,0,7,0,2,2,5,15,5,1,4,4,4,2,1,3,5,1,3
3,6,0,5,0,3,6,5,5,2,8,2,4,4,6,2,3,13,1,1,6,3,9,3,3,1,4,9,2,1,3,5,4,8,5,1,7,4,5,11,4,6,6,5,3,2,5,3,9,1,2,7,10,2,8,1,1,2,6,3,0,4,4,3,9,4,5,5,7,8,10,0,3,5,10,4,4,5,4,4,1,2,10,5,0,4,5,6,5,0,4,1,5,4,7,14,3,3,2,3,4,5,4,4,4,4,2,7,4,7,11,3,10,1,2,5,3,1,5,2,2,2,12,4,3,4,8,8,6,4,4,7,3,2,8,2,9,3,5,6,2,3,3,3,3,8,1,0,6,3,2,4,9,4,6,1,0,10,2,1,3,3,3,4,8,3,7,6,1,2,6,8,2,4,4,6,4,4,4,11,5,2,2,4,5,7,5,1,2,6,8,1,2,4,3,8,6,4,8,6,4,6,7,3,3,2,5,4,3,5,5,10,2,2,8,2,2,1,8,4,4,3,3,4,11,4,9,2,6,8,3,2,7,3,6,3,4,3,3,5,9,5,12,4,2,6,5,3,6,5,8,3,4,2,7,5,4,6,2,0,0,4,4,7,4,2,7,4,5,4,8,9,2,4,5,7,2,0,6,0,4,3,2,7,2,1,3,7,7,5,1,1,5,5,5
4,5,1,2,3,0,1,5,3,4,1,3,0,2,6,3,5,2,3,1,3,2,1,1,1,1,2,0,1,1,2,2,1,5,3,3,3,5,1,3,6,1,4,1,1,1,3,2,4,0,5,1,5,2,4,2,1,3,2,8,1,0,2,1,3,2,2,3,4,1,0,1,2,3,2,5,3,3,1,5,1,2,2,2,0,3,1,2,1,1,4,4,5,1,5,2,4,2,0,4,3,1,3,4,4,1,6,4,3,3,4,0,1,0,2,3,32,2,4,1,0,5,4,1,4,5,1,4,2,2,4,1,1,5,4,4,6,0,1,3,3,0,3,3,1,3,2,3,5,7,7,1,2,4,2,0,7,3,2,0,4,3,0,6,6,4,2,1,1,3,1,1,2,2,5,3,3,6,2,2,2,0,2,5,8,8,2,1,2,4,2,1,2,3,2,2,3,2,1,4,4,4,3,0,0,0,1,7,1,2,1,6,2,1,2,5,7,3,2,5,5,3,4,1,3,3,2,4,4,3,3,5,1,5,3,2,0,2,2,5,0,3,2,1,1,7,5,4,2,1,2,1,4,3,0,4,3,2,2,0,0,4,3,3,0,0,4,3,4,4,1,4,2,1,3,3,2,0,6,0,2,2,5,3,2,2,5,3,3,1,2,7,3,4,4
5,6,0,7,6,1,0,2,3,3,1,1,2,2,4,1,3,8,1,1,1,4,4,1,2,1,4,2,1,2,2,2,3,2,1,1,2,1,2,5,4,3,1,5,1,0,3,0,6,1,3,3,7,0,4,3,1,2,5,2,4,0,3,3,3,5,3,3,2,4,3,4,4,5,5,0,0,4,2,5,3,2,4,6,0,2,2,2,3,4,3,2,4,2,7,4,6,3,0,1,1,2,2,1,3,1,4,2,2,2,5,2,6,0,1,0,2,2,2,1,1,3,6,0,3,3,4,3,3,0,4,2,0,2,1,1,6,3,4,1,2,3,1,7,0,4,2,3,4,3,2,4,5,5,3,0,2,4,2,0,4,2,2,2,4,2,2,7,1,2,2,6,3,2,6,0,1,1,2,9,1,1,2,1,5,3,0,1,2,4,4,2,0,3,1,4,3,3,6,3,3,3,8,1,0,3,2,5,1,2,4,3,0,1,3,3,2,3,5,4,1,2,1,3,6,3,4,4,2,2,6,0,2,3,2,2,1,3,7,1,4,9,2,1,2,1,1,7,3,0,5,3,3,4,3,2,5,1,1,2,1,4,2,4,4,1,3,0,2,1,5,2,2,3,5,4,1,0,4,0,2,1,6,10,1,2,4,0,1,2,0,2,0,3,2
6,22,0,8,5,5,2,0,1,4,2,2,6,8,2,6,2,3,2,1,7,4,9,3,4,4,7,9,3,2,0,12,8,8,9,5,4,6,5,7,7,7,1,12,1,3,11,6,4,0,2,8,11,1,3,7,3,4,9,5,2,4,8,5,8,6,5,3,9,5,2,2,5,5,2,10,4,3,6,7,3,2,8,4,0,3,2,3,0,3,9,5,7,7,9,4,8,4,3,3,6,7,2,2,4,2,11,4,2,8,12,0,6,2,5,0,4,7,3,4,2,5,5,5,1,5,2,9,7,6,5,2,5,12,11,1,8,6,6,4,10,7,4,10,4,2,2,4,11,10,6,3,5,13,6,0,7,5,2,2,8,3,6,25,3,10,7,4,0,7,3,5,7,4,3,2,3,8,7,10,2,2,2,5,12,8,6,1,3,4,5,6,4,9,0,6,8,11,6,12,4,5,15,7,3,3,5,7,6,1,5,7,5,7,7,4,5,2,9,9,4,6,11,9,5,11,7,4,3,5,4,7,3,7,9,5,3,4,2,12,6,12,8,6,8,11,8,6,4,2,7,4,2,4,1,3,5,8,4,0,2,7,3,4,4,2,10,4,10,4,5,2,5,5,7,6,5,0,11,0,3,4,10,10,4,4,7,2,8,3,1,14,6,2,2
7,3,0,5,5,3,3,1,0,4,4,3,7,9,5,4,6,10,2,2,5,4,6,5,5,3,2,6,1,7,7,3,9,1,3,3,2,2,0,3,4,5,3,3,3,0,5,6,9,2,3,9,7,6,1,6,2,4,3,1,5,3,2,4,8,5,7,6,9,5,6,3,4,5,9,1,9,4,9,5,5,7,11,5,0,26,4,4,13,4,4,5,6,9,6,6,5,3,2,8,4,3,7,27,3,7,4,8,7,6,7,2,10,5,9,5,4,5,0,1,8,3,7,1,5,1,4,5,7,11,18,2,11,6,4,3,1,2,2,2,5,23,2,3,5,4,3,8,7,5,3,5,4,4,4,0,5,7,2,5,3,4,2,3,3,3,9,4,5,4,4,6,7,10,6,5,7,6,4,4,30,7,3,3,5,3,2,4,2,8,2,2,5,6,5,4,2,3,6,3,7,3,1,5,10,7,3,7,4,1,6,4,4,4,3,5,6,2,6,3,6,6,1,7,3,13,7,28,4,6,6,2,0,1,2,4,3,2,3,4,7,3,3,5,3,4,5,3,6,2,7,10,3,8,6,10,5,7,4,3,1,5,3,4,5,4,1,8,9,5,4,3,6,5,7,2,4,0,6,1,7,2,4,4,10,2,3,1,4,2,4,8,5,3,4
8,6,1,4,2,4,3,4,4,0,3,3,4,3,8,3,6,5,6,2,4,6,6,1,5,2,4,5,2,2,2,2,4,1,8,5,4,10,2,7,13,6,5,7,1,2,6,2,7,2,5,2,10,3,7,6,3,5,6,6,5,4,6,4,2,5,4,6,5,3,2,5,6,10,3,6,3,10,3,6,3,4,5,8,0,3,4,5,2,8,3,4,3,5,9,7,7,14,0,7,9,7,4,2,6,2,5,7,7,9,4,2,5,1,3,4,4,6,4,6,0,7,8,2,2,14,4,7,4,3,8,2,6,7,10,3,9,11,4,7,12,5,7,6,5,16,4,4,6,7,2,7,3,4,5,0,6,5,11,1,8,0,7,5,15,5,5,8,3,7,0,5,6,1,2,2,4,2,5,5,2,3,4,6,5,13,10,1,5,11,5,7,5,4,3,2,2,5,8,9,6,1,9,5,4,2,3,6,6,3,5,10,4,3,3,6,6,6,7,6,3,7,3,7,7,8,4,6,7,5,7,8,1,5,7,0,4,1,8,7,9,11,5,3,5,4,6,7,6,0,8,3,8,4,2,6,6,5,3,0,1,5,7,5,6,4,7,2,8,3,6,6,5,6,2,4,7,0,11,0,4,5,12,6,5,6,8,5,5,3,1,3,7,4,4
9,5,2,4,8,1,1,2,4,3,0,0,30,4,4,6,0,12,3,2,3,1,10,2,1,1,3,21,2,1,1,0,3,1,4,0,2,2,0,5,1,1,0,2,0,1,5,2,2,0,0,8,4,1,3,1,2,2,3,3,0,0,4,0,8,4,2,9,23,2,10,1,0,0,9,3,1,7,4,2,1,2,25,1,0,4,1,7,1,2,3,2,3,2,0,3,3,0,3,1,3,0,3,3,3,0,1,3,0,0,20,0,6,0,3,4,0,6,1,0,0,0,2,0,1,1,14,1,16,2,7,40,2,1,2,1,1,1,0,2,5,5,0,2,4,15,0,2,8,7,2,0,5,1,1,1,0,7,0,1,0,5,0,2,0,1,4,2,1,3,0,9,1,3,0,5,0,1,3,11,5,0,3,1,1,0,0,0,1,7,1,1,3,7,1,3,1,2,3,2,1,0,9,5,1,1,10,0,1,2,5,0,1,11,1,3,1,1,13,1,1,5,0,6,1,13,8,4,0,5,3,0,1,1,1,3,5,0,0,4,9,12,6,2,10,1,2,4,16,4,5,1,2,5,2,2,4,19,2,0,0,2,0,1,2,0,0,1,9,3,0,1,0,4,2,4,3,0,4,0,0,2,6,13,1,0,1,1,2,1,2,1,2,0,5
