,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan
0,67130,F,2012,Columbus,Charleston,19MF
1,101400,F,2012,Providence,Fargo,19MF
2,118306,F,2012,Dallas,Detroit,14MF
3,30533,M,2012,New York,Detroit,19MF
4,185911,M,2012,New York,Newark,19MF
5,149681,M,2012,Baltimore,Fargo,19MF
6,212190,F,2012,New York,Fargo,19MF
7,213526,F,2012,Baltimore,Nashville,19MF
8,159865,M,2012,New York,Newark,19MF
9,125349,M,2012,Tulsa,Newark,14MF
10,134041,F,2012,New York,Topeka,14MF
11,67920,F,2012,New York,Scranton,19MF
12,131055,M,2012,New York,Charleston,19MF
13,186556,M,2012,Fargo,Charleston,19MF
14,204004,F,2012,Charleston,Scranton,19MF
15,82286,M,2012,Birmingham,Nashville,14MF
16,106830,M,2012,Baltimore,Charleston,19MF
17,50237,F,2012,Baltimore,Indianapolis,19MF
18,39729,M,2012,Providence,Topeka,19MF
19,36190,F,2012,New York,Nashville,19MF
20,122706,M,2012,Dallas,Topeka,14MF
21,208771,M,2012,Providence,Indianapolis,14MF
22,17699,F,2012,Eugene,Nashville,10MF
23,29704,F,2012,Eugene,Nashville,19MF
24,19788,F,2012,New York,Newark,19MF
25,134444,M,2012,New York,Newark,19MF
26,16498,F,2012,Scranton,Scranton,19MF
27,141064,F,2012,Detroit,Nashville,19MF
28,43399,M,2012,New York,Indianapolis,19MF
29,53082,F,2012,Baltimore,Fargo,14MF
30,57756,F,2012,New York,Nashville,14MF
31,138820,M,2012,Baltimore,Fargo,19MF
32,98404,M,2012,New York,Detroit,19MF
33,176281,M,2012,New York,Newark,14MF
34,163306,M,2012,Providence,Detroit,10MF
35,90966,F,2012,Fargo,Fargo,19MF
36,121977,F,2012,New York,Nashville,19MF
37,75094,F,2012,Baltimore,Scranton,14MF
38,76879,F,2012,New York,Topeka,19MF
39,108394,F,2012,Seattle,Nashville,19MF
40,94205,F,2012,New York,Scranton,19MF
41,45183,M,2012,Baltimore,Charleston,19MF
42,73833,M,2012,Dallas,Detroit,14MF
43,157144,F,2012,Madison,Indianapolis,19MF
