,Unnamed: 0,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan,index
0,0,67130,F,2012,Columbus,Charleston,19MF,0
1,1,101400,F,2012,Providence,Fargo,19MF,1
2,2,118306,F,2012,Dallas,Detroit,14MF,2
3,3,30533,M,2012,New York,Detroit,19MF,3
4,4,185911,M,2012,New York,Newark,19MF,4
5,5,149681,M,2012,Baltimore,Fargo,19MF,5
6,6,212190,F,2012,New York,Fargo,19MF,6
7,7,213526,F,2012,Baltimore,Nashville,19MF,7
8,8,159865,M,2012,New York,Newark,19MF,8
9,9,125349,M,2012,Tulsa,Newark,14MF,9
10,10,134041,F,2012,New York,Topeka,14MF,10
11,11,67920,F,2012,New York,Scranton,19MF,11
12,12,131055,M,2012,New York,Charleston,19MF,12
13,13,186556,M,2012,Fargo,Charleston,19MF,13
14,14,204004,F,2012,Charleston,Scranton,19MF,14
15,15,82286,M,2012,Birmingham,Nashville,14MF,15
16,16,106830,M,2012,Baltimore,Charleston,19MF,16
17,17,50237,F,2012,Baltimore,Indianapolis,19MF,17
18,18,39729,M,2012,Providence,Topeka,19MF,18
19,19,36190,F,2012,New York,Nashville,19MF,19
20,20,122706,M,2012,Dallas,Topeka,14MF,20
21,21,208771,M,2012,Providence,Indianapolis,14MF,21
22,22,17699,F,2012,Eugene,Nashville,10MF,22
23,23,29704,F,2012,Eugene,Nashville,19MF,23
24,24,19788,F,2012,New York,Newark,19MF,24
25,25,134444,M,2012,New York,Newark,19MF,25
26,26,16498,F,2012,Scranton,Scranton,19MF,26
27,27,141064,F,2012,Detroit,Nashville,19MF,27
28,28,43399,M,2012,New York,Indianapolis,19MF,28
29,29,53082,F,2012,Baltimore,Fargo,14MF,29
30,30,57756,F,2012,New York,Nashville,14MF,30
31,31,138820,M,2012,Baltimore,Fargo,19MF,31
32,32,98404,M,2012,New York,Detroit,19MF,32
33,33,176281,M,2012,New York,Newark,14MF,33
34,34,163306,M,2012,Providence,Detroit,10MF,34
35,35,90966,F,2012,Fargo,Fargo,19MF,35
